id,gender,age,year,school,mar,mobile_bundle,income,job,region,phone_usage_per_m,telecom
3010004,1,21,2017,4,1,2,1,2,4,49,1
3020001,1,36,2017,5,2,2,9,1,4,72,1
3020002,2,36,2017,5,2,2,1,2,4,52,2
3030001,1,40,2017,5,2,2,8,1,4,62,1
3030002,2,39,2017,5,2,2,1,2,4,56,1
3060004,1,21,2017,5,1,2,1,2,4,65,1
3070001,1,51,2017,4,2,2,7,1,4,60,1
3070002,2,48,2017,4,2,2,10,1,4,70,1
3070003,2,26,2017,6,1,2,1,2,4,80,1
3070004,1,25,2017,5,1,2,5,1,4,80,1
3080001,1,47,2017,4,2,2,10,1,4,53,1
3080002,2,42,2017,4,2,2,3,2,4,49,1
3080003,2,17,2017,4,1,2,1,2,4,21,2
3100001,1,51,2017,5,2,2,9,1,4,80,1
3100002,2,51,2017,5,2,2,1,2,4,45,1
3100003,1,24,2017,4,1,2,3,1,4,60,2
3120001,1,51,2017,5,2,2,8,1,4,70,3
3120002,2,53,2017,4,2,2,1,2,4,100,1
3120003,1,24,2017,5,1,2,5,1,4,65,1
3130001,1,45,2017,4,2,2,6,1,4,35,1
3130002,2,45,2017,4,2,2,2,2,4,22,1
3140001,1,54,2017,4,2,1,12,1,4,65,2
3140002,2,51,2017,4,2,1,2,2,4,39,3
3140003,1,25,2017,5,1,1,1,2,4,62,3
